file_name,status,stage,error_type,message,invoice_id
IT01533080675_660AT.xml,success,import,,Import completato,1525
IT01533080675_7Yr1K.xml,success,import,,Import completato,1526
IT01533080675_7Yr1P.xml,success,import,,Import completato,1527
IT016417907022023j_08owV.xml,success,import,,Import completato,1528
IT016417907022023p_0c1vh.xml,success,import,,Import completato,1529
IT016417907022025N_03kdq.xml,success,import,,Import completato,1530
IT016417907022025n_0aSuY.xml,success,import,,Import completato,1531
IT01879020517A2023_dkjRk.xml.p7m,success,import,,Import completato,1532
IT01879020517A2023_fGUDA.xml.p7m,success,import,,Import completato,1533
IT01879020517A2023_foKWl.xml.p7m,success,import,,Import completato,1534
IT01879020517A2023_fpO7C.xml.p7m,success,import,,Import completato,1535
IT01879020517A2023_fXjLt.xml.p7m,success,import,,Import completato,1536
IT01879020517A2023_g893g.xml.p7m,success,import,,Import completato,1537
IT01879020517A2024_a4c06.xml.p7m,success,import,,Import completato,1538
IT01879020517A2024_c9pVF.xml.p7m,success,import,,Import completato,1539
IT01879020517A2024_cwX3A.xml.p7m,success,import,,Import completato,1540
IT01879020517A2024_dm13a.xml.p7m,success,import,,Import completato,1541
IT01879020517A2024_fJsS9.xml.p7m,success,import,,Import completato,1542
IT01879020517A2024_gzP3B.xml.p7m,success,import,,Import completato,1543
IT01879020517A2025_gBXfG.xml.p7m,success,import,,Import completato,1544
IT01879020517A2025_gkx5r.xml.p7m,success,import,,Import completato,1545
IT0200275048300000_DR7S2.xml.p7m,success,import,,Import completato,1546
IT0200275048300000_EIG56.xml.p7m,success,import,,Import completato,1547
IT0200275048300000_L9AET.xml.p7m,success,import,,Import completato,1548
IT0200275048300000_MGCKP.xml.p7m,success,import,,Import completato,1549
IT02355260981_Sq6oI.xml.p7m,success,import,,Import completato,1550
IT02448510046TESI3_E1200.xml,success,import,,Import completato,1551
IT02624490658_I0hqn.xml,success,import,,Import completato,1552
IT02624490658_I0mxm.xml,success,import,,Import completato,1553
IT02624490658_I0n71.xml,success,import,,Import completato,1554
IT02624490658_I0q55 - Copia.xml,skipped,precheck,,Duplicato per file_hash (pre-parse),132
IT03299820591_5H23T.xml.p7m,success,import,,Import completato,1555
IT03618500403_1mdfV.xml.p7m,success,import,,Import completato,1556
IT03759480654_001SZ.xml.p7m,success,import,,Import completato,1557
IT03759480654_002PG.xml.p7m,success,import,,Import completato,1558
IT04106160163_01fS3.xml,success,import,,Import completato,1559
IT04193800986_Xw7DS.xml.p7m,success,import,,Import completato,1560
IT04398860652BNXBB_009A0.xml.p7m,success,import,,Import completato,1561
IT04530950486_385R1.xml,success,import,,Import completato,1562
IT04839740489_GglUi.xml.p7m,success,import,,Import completato,1563
IT04839740489_MhQUL.xml,success,import,,Import completato,1564
IT04839740489_Oz8gK.xml,success,import,,Import completato,1565
IT0526289001424366_F8D7J.xml,success,import,,Import completato,1566
IT05376570650_000MN.xml,success,import,,Import completato,1567
IT05376570650_000NZ.xml,success,import,,Import completato,1568
IT05499920659_00AWW.xml,success,import,,Import completato,1569
IT06628860964_dsQHj.xml.p7m,success,import,,Import completato,1570
IT06655971007_hFmJA.xml.p7m,success,import,,Import completato,1571
IT06655971007_mVVqt.xml.p7m,error,parsing,FatturaPAParseError,"Parsing error: XML non parsabile: file=IT06655971007_mVVqt.xml.p7m parse_error=Opening and ending tag mismatch: DataI line 185 and DataInizioPeriodo, line 185, column 48 (<string>, line 185)",
IT06655971007_P5cle.xml.p7m,success,import,,Import completato,1572
IT06888411003_ERZWJ.xml.p7m,success,import,,Import completato,1573
IT07155170157_0eGex.xml,success,import,,Import completato,1574
IT07383490633_0101B.xml.p7m,success,import,,Import completato,1575
IT08567210961_yaw82.xml,success,import,,Import completato,1576
IT08567210961_yLCUN.xml,success,import,,Import completato,1577
IT08567210961_yptPr.xml,success,import,,Import completato,1578
IT08567210961_ys00F.xml,success,import,,Import completato,1579
