file_name,status,stage,error_type,message,invoice_id
IT01533080675_7NPMH.xml,success,import,,Import completato,2009
IT01533080675_7NPMV.xml,success,import,,Import completato,2010
IT016417907022024r_00gwI.xml,success,import,,Import completato,2011
IT0164179070220258_03LdP.xml,success,import,,Import completato,2012
IT016417907022025y_02FSm.xml,success,import,,Import completato,2013
IT01879020517A2024_bleID.xml.p7m,success,import,,Import completato,2014
IT01879020517A2024_bmOnp.xml.p7m,success,import,,Import completato,2015
IT01879020517A2024_c3qOj.xml.p7m,success,import,,Import completato,2016
IT01879020517A2024_dL09I.xml.p7m,success,import,,Import completato,2017
IT01879020517A2024_epZgg.xml.p7m,success,import,,Import completato,2018
IT01879020517A2024_hJHcR.xml.p7m,success,import,,Import completato,2019
IT01879020517A2024_hJHgl.xml.p7m,skipped,precheck,,Duplicato per file_hash (pre-parse),217
IT01879020517A2025_aRjkV.xml.p7m,success,import,,Import completato,2020
IT01879020517A2025_b22NM.xml.p7m,success,import,,Import completato,2021
IT01879020517A2025_bjkcF.xml.p7m,success,import,,Import completato,2022
IT01879020517A2025_btHrr.xml.p7m,success,import,,Import completato,2023
IT01879020517A2025_c1Jxn.xml.p7m,success,import,,Import completato,2024
IT01879020517A2025_dGIeA.xml.p7m,success,import,,Import completato,2025
IT01879020517A2025_f2YyP.xml.p7m,success,import,,Import completato,2026
IT01879020517A2025_gUPC3.xml - Copia.p7m,skipped,precheck,,Duplicato per file_hash (pre-parse),829
IT01879020517A2025_hg5kN.xml.p7m,skipped,precheck,,Duplicato per file_hash (pre-parse),1334
IT0200275048300000_RUI4T.xml.p7m,success,import,,Import completato,2027
IT02543910653_00B84.xml,success,import,,Import completato,2028
IT02624490658_I0q79 - Copia.xml,skipped,precheck,,Duplicato per file_hash (pre-parse),133
IT03602521217_01C1F.xml,success,import,,Import completato,2029
IT03618500403_0fCdI.xml.p7m,success,import,,Import completato,2030
IT03759480654_001XO.xml.p7m,success,import,,Import completato,2031
