file_name,status,stage,error_type,message,invoice_id
IT01533080675_5kqyB.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1828
IT01533080675_7NPM4.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1829
IT01533080675_7qnuV.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1830
IT016417907022023D_0aMRg.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1831
IT016417907022023G_09AGs.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1832
IT016417907022024b_02DXq.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1833
IT016417907022024F_0addo.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1834
IT016417907022024h_02Blr.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1835
IT016417907022024L_06D15.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1836
IT016417907022025l_06JGS.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1837
IT01879020517A2024_ble7z.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1838
IT01879020517A2024_cWEN2.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1839
IT01879020517A2024_djiak.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1840
IT01879020517A2024_dL08N.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1841
IT01879020517A2024_e8fR3.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1842
IT01879020517A2024_eRpL7.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1843
IT01879020517A2024_fXZTX.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1844
IT01879020517A2025_cVf3x.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1845
IT01879020517A2025_gelUt.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1846
IT01895030995X0001_8FZFV.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1847
IT0200275048300000_DTQZO.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1848
IT0200275048300000_HXHML.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),3158
IT0200275048300000_LY4GH.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1850
IT02046570426_5GJ48.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1851
IT02046570426_7lSyv.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1852
IT02355260981_PTM3B.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1853
IT02624490658_I0hl6.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1854
IT02624490658_I0lov.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1855
IT02624490658_I0qbg - Copia.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1856
IT02861940654_00VMC.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1857
IT03618500403_00ade.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1858
IT03618500403_0n4Cs.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1859
IT03618500403_1Patv.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1860
IT03618500403_1PauQ.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1861
IT03759480654_0022G.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1862
IT03830780361_7HH7E.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1863
IT04313920656_690A7.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1864
IT04313920656_77X5B.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1865
IT04530950486R0000_04JSV.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1866
IT04839740489_P1qxg.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1867
IT04839740489_PjauL.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1868
IT05317231008_2JN18.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1869
IT05376570650_000P8.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1870
IT05614050655_00HGK.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1871
IT06175530655_00087.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1872
IT06655971007_MDpht.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1873
IT06655971007_MFuys.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1874
IT06655971007_ow2YL.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),1875
IT07945211006JOM3S_XISNK.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1876
IT11359591002_1hjv9.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1877
ITCGGPLA64H44A717Z_0006O.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1878
ITPSTFNC58T01F481P_0007J.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1879
ITPSTMRA66A19F481R_000DE.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1880
ITPSTMRA66A19F481R_000DF.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1881
ITPSTMRA66A19F481R_000E7.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1882
ITPSTMRA66A19F481R_000EQ.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1883
