file_name,status,stage,error_type,message,invoice_id
IT016417907022024j_08Cyh.xml,skipped,precheck,,Duplicato per file_name (pre-parse),1
IT0164179070220256_019vx.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2
IT016417907022025Y_0a4Ve.xml,skipped,precheck,,Duplicato per file_name (pre-parse),3
IT01879020517A2023_dAcit.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),4
IT01879020517A2023_fXj7e.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),5
IT01879020517A2023_gflPc.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),6
IT01879020517A2024_bmOfe.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),7
IT01879020517A2024_btPno.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),8
IT01879020517A2024_emrMA.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),9
IT01879020517A2024_ewoNQ.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),10
IT01879020517A2024_fG29Y.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),11
IT01879020517A2025_aRjab.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),12
IT01879020517A2025_d2N3t.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),13
IT01879020517A2025_gQdGm.xml - Copia.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),14
IT0200275048300000_KSMHF.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),15
IT02046570426_b5grC.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),16
IT02355260981_MHPaA.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),17
IT02355260981_YKOz2.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),18
IT02624490658_I0k0h.xml,skipped,precheck,,Duplicato per file_name (pre-parse),19
IT02624490658_I0n61.xml,skipped,precheck,,Duplicato per file_name (pre-parse),20
IT02624490658_I0nqk.xml,skipped,precheck,,Duplicato per file_name (pre-parse),21
IT02689170658_00D3G.xml,skipped,precheck,,Duplicato per file_name (pre-parse),22
IT03486670650_43592.xml,skipped,precheck,,Duplicato per file_name (pre-parse),23
IT03486670650_43598.xml,skipped,precheck,,Duplicato per file_name (pre-parse),24
IT03759480654_001RG.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),25
IT03830780361_75XNX.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),26
IT03830780361_8XD38.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),27
IT03830780361_BSTZT.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),28
IT04193800986_XxPOd.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),29
IT04193800986_Y8kVn.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),30
IT04313920656_78JFC.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),31
IT04398860652BNXBB_009GU.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),32
IT04398860652BNXBB_00CZG.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),33
IT04398860652BNXBB_00D1N.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),34
IT04839740489_Hhv32.xml,skipped,precheck,,Duplicato per file_name (pre-parse),35
IT04839740489_HTrR2.xml,skipped,precheck,,Duplicato per file_name (pre-parse),36
IT04839740489_J8P7u.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),37
IT04839740489_Nvt0r.xml,skipped,precheck,,Duplicato per file_name (pre-parse),38
IT0526289001425212_SNSYJ.xml,skipped,precheck,,Duplicato per file_name (pre-parse),39
IT05376570650_000O2.xml,skipped,precheck,,Duplicato per file_name (pre-parse),40
IT05376570650_000PE.xml,skipped,precheck,,Duplicato per file_name (pre-parse),41
IT05614050655_00G6L.xml,skipped,precheck,,Duplicato per file_name (pre-parse),42
IT05614050655_00H6L.xml,skipped,precheck,,Duplicato per file_name (pre-parse),43
IT06655971007_BBzuv.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),3170
IT06655971007_dpYI6.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),44
IT06655971007_hDj1C.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),45
IT06655971007_hEmVl.xml.p7m,success,import,,Import completato,3186
IT06655971007_hFmNe.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),46
IT06655971007_Peug5.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),47
IT06655971007_UvbOf.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),3171
