file_name,status,stage,error_type,message,invoice_id
IT01188660888_00CTL.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2573
IT01533080675_692Hc.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2574
IT01533080675_6CJh0.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2575
IT01533080675_89lXg.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2576
IT016417907022023i_09Tbg.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2577
IT016417907022023p_0c1nN.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2578
IT016417907022023s_08nBH.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2579
IT016417907022023V_0bLdL.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2580
IT016417907022024L_0cwFA.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2581
IT016417907022024x_06Nfi.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2582
IT01879020517A2023_eHc8z.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2583
IT01879020517A2023_fv740.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2584
IT01879020517A2024_bpMFk.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2585
IT01879020517A2024_dNkDD.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2586
IT01879020517A2024_g2r9X.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2587
IT01879020517A2025_ayrMa.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2588
IT01879020517A2025_cIQAa.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2589
IT01879020517A2025_cMRMw.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2590
IT01879020517A2025_gXz3L.xml - Copia.p7m,skipped,precheck,,Duplicato per file_hash (pre-parse),624
IT0200275048300000_QL1RJ.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2591
IT0200275048300000_TH887.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2592
IT02046570426_84iNO.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2593
IT02624490658_I0k0k.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2594
IT02624490658_I0k1u.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2595
IT02624490658_I0o5o.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2596
IT03301640482_UHVGX.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2597
IT03618500403_01GiF.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2598
IT03618500403_12vAt.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2599
IT03759480654_002AG.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2600
